# Wavelength(nm) 	 QE
2.600000000000000000e+02	0.000000000000000000e+00
2.700000000000000000e+02	1.350000000000000288e-04
2.800000000000000000e+02	2.700000000000000577e-04
2.900000000000000000e+02	4.320000000000000923e-03
3.000000000000000000e+02	3.793500000000000344e-02
3.100000000000000000e+02	1.000349999999999989e-01
3.200000000000000000e+02	1.841399999999999981e-01
3.300000000000000000e+02	2.435400000000000342e-01
3.400000000000000000e+02	2.807999999999999940e-01
3.500000000000000000e+02	3.029399999999999871e-01
3.600000000000000000e+02	3.125250000000000528e-01
3.700000000000000000e+02	3.196800000000000197e-01
3.800000000000000000e+02	3.218400000000000150e-01
3.900000000000000000e+02	3.302100000000000590e-01
4.000000000000000000e+02	3.300750000000000073e-01
4.100000000000000000e+02	3.295350000000000223e-01
4.200000000000000000e+02	3.283200000000000007e-01
4.300000000000000000e+02	3.150900000000000367e-01
4.400000000000000000e+02	3.046950000000000491e-01
4.500000000000000000e+02	2.943000000000000060e-01
4.600000000000000000e+02	2.782350000000000101e-01
4.700000000000000000e+02	2.578500000000000236e-01
4.800000000000000000e+02	2.420549999999999924e-01
4.900000000000000000e+02	2.290949999999999931e-01
5.000000000000000000e+02	2.195100000000000107e-01
5.100000000000000000e+02	2.046600000000000363e-01
5.200000000000000000e+02	1.729350000000000054e-01
5.300000000000000000e+02	1.355400000000000216e-01
5.400000000000000000e+02	1.105650000000000105e-01
5.500000000000000000e+02	9.531000000000000583e-02
5.600000000000000000e+02	8.370000000000001050e-02
5.700000000000000000e+02	7.276500000000001023e-02
5.800000000000000000e+02	6.156000000000000361e-02
5.900000000000000000e+02	5.035500000000000392e-02
6.000000000000000000e+02	4.036500000000000504e-02
6.100000000000000000e+02	3.078000000000000180e-02
6.200000000000000000e+02	2.214000000000000343e-02
6.300000000000000000e+02	1.444499999999999951e-02
6.400000000000000000e+02	9.450000000000000067e-03
6.500000000000000000e+02	5.669999999999999693e-03
6.600000000000000000e+02	3.105000000000000121e-03
6.700000000000000000e+02	1.619999999999999912e-03
6.800000000000000000e+02	8.099999999999999561e-04
6.900000000000000000e+02	4.049999999999999781e-04
7.000000000000000000e+02	1.350000000000000288e-04
7.100000000000000000e+02	0.000000000000000000e+00
7.200000000000000000e+02	0.000000000000000000e+00
7.300000000000000000e+02	0.000000000000000000e+00
