#r(mm) 	 z(mm) 
0.0	0.0
0.5122223582810871	0.032797491301174375
1.0244447165621742	0.07855562812378736
1.5366670748432614	0.11451307812074418
2.0488894331243483	0.16241203821753203
2.5611117914054353	0.18079146514519095
3.0733341496865227	0.20381500260698004
3.5855565079676097	0.2619280175690406
4.097778866248697	0.32484867775240645
4.610001224529784	0.3728867164013394
5.122223582810871	0.4075627386437475
5.634445941091958	0.421551034101725
6.1466682993730455	0.4679953171752089
6.6588906576541325	0.5230881447589937
7.171113015935219	0.6224093934330313
7.683335374216306	0.6622977373207632
8.195557732497393	0.7296993001447802
8.707780090778481	0.80038876259934
9.220002449059567	0.8658103324636031
9.732224807340655	0.9571591692025976
10.244447165621741	1.0580910183915648
10.75666952390283	1.107358223616906
11.268891882183915	1.248822189259478
11.781114240465003	1.3013637872476735
12.293336598746091	1.4079755514950705
12.805558957027177	1.4875553309745086
13.317781315308265	1.6188417149158596
13.830003673589351	1.719615964546442
14.342226031870439	1.7895713122734733
14.854448390151525	1.9180234509773726
15.366670748432613	1.9713858128622235
15.878893106713699	2.1657805925465254
16.391115464994787	2.2982553672951838
16.903337823275873	2.3737696133416932
17.415560181556963	2.5236912888101557
17.92778253983805	2.6028903523858062
18.440004898119135	2.8072418589023016
18.95222725640022	3.019023363308982
19.46444961468131	3.1300175647291155
19.976671972962396	3.2415972288692174
20.488894331243483	3.439708394142592
21.001116689524572	3.6447741600545314
21.51333904780566	3.799255228095941
22.025561406086744	4.03368944870514
22.53778376436783	4.181956590458309
23.05000612264892	4.409097829365315
23.562228480930006	4.51486110754804
24.074450839211092	4.7779573908576225
24.586673197492182	4.909945300810314
25.098895555773268	5.204550995929978
25.611117914054354	5.363779809912899
26.12334027233544	5.693598797743984
26.63556263061653	5.825156446367046
27.147784988897616	6.1376291814636375
27.660007347178702	6.2690262044151055
28.172229705459788	6.617053716745751
28.684452063740878	6.733105228109348
29.196674422021964	7.085870966790736
29.70889678030305	7.262551189178289
30.22111913858414	7.60514676144475
30.733341496865226	7.970318549655829
31.24556385514631	8.100812718400817
31.757786213427398	8.461209854129983
32.27000857170849	8.61598229162449
32.782230929989574	9.015818632780377
33.29445328827066	9.448400615717691
33.806675646551746	9.829548131252608
34.31889800483283	10.157898953246423
34.831120363113925	10.408951197855153
35.34334272139501	10.671989104079877
35.8555650796761	10.940778475918876
36.36778743795718	11.21772755834629
36.88000979623827	11.505830899617877
37.392232154519355	12.028958386879324
37.90445451280044	12.282480394070078
38.416676871081535	12.786296099392331
38.92889922936262	12.991601527684761
39.44112158764371	13.532576121722407
39.95334394592479	13.786508036106824
40.46556630420588	14.247106737591576
40.977788662486965	14.61996663054321
41.49001102076805	15.054034283651909
42.002233379049144	15.485385823926045
42.51445573733023	15.89748977977635
43.02667809561132	16.38123970197842
43.5389004538924	16.762313974929828
44.05112281217349	17.269241715253546
44.563345170454575	17.658202771530462
45.07556752873566	18.227635999146614
45.587789887016754	18.744434974857956
46.10001224529784	19.281308357704063
46.612234603578926	19.867476827947613
47.12445696186001	20.342786728737835
47.6366793201411	20.807366533458737
48.148901678422185	21.44535783063091
48.66112403670327	21.891623533286435
49.173346394984364	22.43659980629903
49.68556875326545	23.31727996079823
50.197791111546536	23.98413698497753
50.71001346982762	24.613949885979153
51.0	24.613949885979153
200.0	24.613949885979153
