#r (distance to centre, mm) 	 y (distance to be moved mm) 
0.0	0.0
0.6710674700000041	0.0
1.0240674699999985	0.0
1.3760674700000024	0.0
1.729067470000004	0.0
2.0810674700000007	0.0
2.532067470000001	0.020290000000000002
3.080067470000003	0.06131
3.354067470000004	0.14201
3.7850674700000013	0.12265000000000001
4.137067469999998	0.12323
4.49006747	0.12381
4.87106747	0.2448
5.19406747	0.24533000000000002
5.547067470000002	0.24591
5.8990674699999985	0.30667
6.163067470000001	0.36729
6.5650674700000025	0.38800999999999997
7.074067470000003	0.4289700000000001
7.387067469999998	0.50973
7.895067470000001	0.61087
8.248067470000002	0.61145
8.600067469999999	0.73239
8.992067470000002	0.7531
9.579067469999998	0.87443
10.166067470000002	0.9958000000000001
10.753067469999998	1.1171
11.30106747	1.2384
11.77006747	1.3595
12.24006747	1.4806
12.70906747	1.6018
13.17906747	1.7228999999999999
13.707067469999998	1.8842999999999999
14.11806747	1.9450999999999998
14.54806747	2.1264000000000003
14.88006747	2.1871
15.291067470000002	2.3082000000000003
15.643067469999998	2.4291
15.995067470000002	2.5501
16.34706747	2.6710000000000003
16.699067470000003	2.7920000000000003
17.05106747	2.9129
17.403067470000003	3.0339
17.814067469999998	3.1750000000000003
18.04806747	3.3358000000000003
18.34106747	3.3965
18.796067470000004	3.5778000000000003
19.339067470000003	3.7793
19.573067469999998	3.9402
19.96906747	4.0612
20.36506747	4.2424
20.790067470000004	4.4237
21.23406747	4.625
21.449067470000003	4.7859
21.845067470000004	4.9069
22.32906747	5.1484000000000005
22.79806747	5.3899
23.26706747	5.6314
23.736067470000002	5.8729000000000005
24.205067469999996	6.1144
24.674067470000004	6.356
25.103067470000006	6.5974
25.494067469999997	6.8388
25.924067470000004	7.0802000000000005
26.314067470000005	7.3216
26.764067470000008	7.5631
27.09606747	7.7642
27.44706747	8.0056
27.799067470000004	8.2469
28.267067469999994	8.5285
28.619067469999997	8.7698
28.970067469999996	9.0111
29.361067470000002	9.2525
29.653067470000003	9.4937
29.91706747	9.6446
30.151067469999994	9.916
30.532067469999994	10.097
31.000067469999998	10.459
31.469067470000006	10.821
31.937067469999995	11.183
32.40606747	11.545
32.698067470000005	11.846
33.10806747	12.148
33.40006747	12.449
33.81006747	12.751
34.103067470000006	12.992
34.51206747	13.474
35.01906747	13.956
35.39006747	14.258000000000001
35.72106747	14.559
35.916067469999994	14.8
36.42306747	15.162
36.73506747	15.524000000000001
37.02706747	15.885
37.37806747	16.247
37.690067469999995	16.609
37.98206747	16.97
38.25406747	17.332
38.449067469999996	17.693
38.662067470000004	18.055
38.86606747	18.416
39.03106747	18.778
39.16706747	19.139
39.38006747000001	19.5
39.51606747	19.862000000000002
39.592067469999996	20.223
39.689067470000005	20.584
39.80406747	20.946
39.82206747	21.307
39.87906747	21.668
39.937067469999995	22.029
