#r(mm) 	 z(mm) 
0.41653607085629574	0.025912208170317166
1.6902896250328043	0.0
2.964043179209313	0.0064425023499605875
4.237796733385822	0.040070240498667184
5.51155028756233	0.09571373972458797
6.7853038417388385	0.16820352530619476
8.059057395915348	0.23830464500919252
9.332810950091856	0.32970730162233264
10.606564504268365	0.4254295205818258
11.880318058444873	0.5160861073303697
13.154071612621381	0.6444000807140856
14.42782516679789	0.78206945117598
15.7015787209744	0.963283535379059
16.975332275150908	1.1238709655346044
18.249085829327417	1.3013519777486364
19.522839383503925	1.5036863066732802
20.796592937680433	1.6918451081010397
22.07034649185694	1.9021354559448678
23.34410004603345	2.110520628251108
24.61785360020996	2.3329187100616364
25.891607154386467	2.593541906348604
27.165360708562975	2.8512548338896506
28.439114262739484	3.1710945837410103
29.712867816915992	3.4591840802887224
30.986621371092504	3.761797515407873
32.26037492526901	4.096174476088826
33.53412847944552	4.433799936038451
34.80788203362203	4.798893452199922
36.08163558779854	5.163066200876162
37.355389141975046	5.546461314554254
38.629142696151554	5.934549362531761
39.90289625032806	6.3450019222577625
41.17664980450457	6.75971496155618
42.45040335868108	7.192421143467905
43.72415691285759	7.6366046450882985
44.997910467034096	8.107353942418769
46.271664021210604	8.57932469463281
47.54541757538711	9.103112733739852
48.81917112956362	9.636148773321123
50.09292468374013	10.178284348567333
51.36667823791664	10.727169518295495
52.640431792093146	11.300182790770384
53.914185346269655	11.891804361395401
55.18793890044616	12.513339005266152
56.46169245462267	13.135771622951665
57.73544600879918	13.755603899805202
59.00919956297569	14.398685766452848
60.282953117152196	15.085125049102702
61.55670667132871	15.773776972868596
62.83046022550522	16.475876474642885
64.10421377968173	17.18735791140938
65.37796733385824	17.936990992287217
66.65172088803475	18.709863750999485
67.92547444221125	19.510492138261107
69.19922799638776	20.323350855181822
70.47298155056427	21.13816101075008
71.74673510474078	21.988073178520278
73.02048865891729	22.884287347668337
74.2942422130938	23.77822132594054
75.5679957672703	24.686283422283736
76.84174932144681	25.625549628709674
78.11550287562332	26.598350918471212
79.38925642979983	27.61138686215447
80.66300998397634	28.651578634616943
81.93676353815285	29.69425879296677
83.21051709232935	30.771576711282695
84.48427064650586	31.894682291672176
85.75802420068237	33.03912833850098
87.03177775485888	34.17817938098499
88.30553130903539	35.37121620310492
89.5792848632119	36.61167607922258
90.8530384173884	37.87684010116305
92.12679197156491	39.20736156747444
93.40054552574142	40.56064268562697
94.67429907991793	41.95219615370184
95.94805263409444	43.40322147939709
97.22180618827095	44.861838614853355
98.49555974244745	46.288980640019034
99.76931329662396	47.70166163046571
101.04306685080047	49.083814928318354
102.31682040497698	50.42788549389739
103.59057395915349	51.74042145294523
104.86432751333	53.061126938957194
106.1380810675065	54.34926258568435
107.41183462168301	55.66682821298772
108.68558817585952	56.95758504368394
109.95934173003603	58.260228309648056
111.23309528421254	59.54564109593031
112.50684883838905	60.0
113.78060239256556	60.0
115.05435594674206	60.0
116.32810950091857	60.0
117.60186305509508	60.0
118.87561660927159	60.0
120.1493701634481	60.0
121.4231237176246	60.0
122.69687727180113	60.0
123.97063082597764	60.0
125.24438438015414	60.0
126.51813793433064	60.0
200.0	60.0
